sampleid	percent	reads	taxon_id	Kingdom	Phylum
DT04PM03	0.002523	171	1752724	Bacteria	Candidatus Pacebacteria
DT04PM03	0.002435	165	1817797	Bacteria	Candidatus Coatesbacteria
DT04PM03	0.002435	165	1817911	Bacteria	Candidatus Nealsonbacteria
DT04PM03	0.00242	164	1752738	Bacteria	Candidatus Giovannonibacteria
DT04PM03	0.00242	164	1817809	Bacteria	Candidatus Raymondbacteria
DT04PM03	0.00239	162	2798537	Bacteria	Candidatus Blackallbacteria
DT04PM03	0.002331	158	67820	Bacteria	Candidatus Microgenomates
DT04PM03	0.002302	156	1817910	Bacteria	Candidatus Lloydbacteria
DT04PM03	0.002213	150	1817907	Bacteria	Candidatus Kerfeldbacteria
DT04PM03	0.00211	143	1752727	Bacteria	Candidatus Campbellbacteria
DT04PM03	0.00208	141	1817924	Bacteria	Candidatus Yonathbacteria
DT04PM03	0.002066	140	1752735	Bacteria	Candidatus Wolfebacteria
DT04PM03	0.002036	138	1817916	Bacteria	Candidatus Staskawiczbacteria
DT04PM03	0.002021	137	1817805	Bacteria	Candidatus Glassbacteria
DT04PM03	0.001992	135	1752721	Bacteria	Candidatus Shapirobacteria
DT04PM03	0.001992	135	1752730	Bacteria	Candidatus Amesbacteria
DT04PM03	0.001948	132	1819803	Bacteria	Candidatus Desantisbacteria
DT04PM03	0.001874	127	1817903	Bacteria	Candidatus Buchananbacteria
DT04PM03	0.001741	118	1817899	Bacteria	Candidatus Woykebacteria
DT04PM03	0.001682	114	1817914	Bacteria	Candidatus Ryanbacteria
DT04PM03	0.001667	113	1817812	Bacteria	Candidatus Wallbacteria
DT04PM03	0.001667	113	1817917	Bacteria	Candidatus Sungbacteria
DT04PM03	0.001653	112	1817905	Bacteria	Candidatus Harrisonbacteria
DT04PM03	0.001579	107	1817922	Bacteria	Candidatus Vogelbacteria
DT04PM03	0.001564	106	1817802	Bacteria	Candidatus Firestonebacteria
DT04PM03	0.001387	94	1817913	Bacteria	Candidatus Portnoybacteria
DT04PM03	0.001372	93	363464	Bacteria	Candidatus Gracilibacteria
DT04PM03	0.001372	93	1752725	Bacteria	Candidatus Collierbacteria
DT04PM03	0.001313	89	1817909	Bacteria	Candidatus Liptonbacteria
DT04PM03	0.001284	87	1752741	Bacteria	Candidatus Azambacteria
DT04PM03	0.001269	86	1817908	Bacteria	Candidatus Komeilibacteria
DT04PM03	0.001239	84	1817923	Bacteria	Candidatus Wildermuthbacteria
DT04PM03	0.001225	83	2498705	Bacteria	Candidatus Cryosericota
DT04PM03	0.001166	79	1752739	Bacteria	Candidatus Jorgensenbacteria
DT04PM03	0.001121	76	67814	Bacteria	Caldiserica
DT04PM03	0.001121	76	68297	Bacteria	Dictyoglomi
DT04PM03	0.001107	75	1752726	Bacteria	Candidatus Beckwithbacteria
DT04PM03	0.001107	75	2576005	Bacteria	candidate division LCP-89
DT04PM03	0.001092	74	2301208	Bacteria	Candidatus Cerribacteria
DT04PM03	0.001077	73	1817803	Bacteria	Candidatus Fischerbacteria
DT04PM03	0.001077	73	2093364	Bacteria	Candidatus Aureabacteria
DT04PM03	0.001018	69	1817800	Bacteria	Candidatus Edwardsbacteria
DT04PM03	0.001003	68	1817804	Bacteria	Candidatus Fraserbacteria
DT04PM03	0.000974	66	1130266	Bacteria	Candidatus Hydrothermae
DT04PM03	0.000974	66	1752740	Bacteria	Candidatus Kuenenbacteria
DT04PM03	0.000856	58	221235	Bacteria	Candidatus Absconditabacteria
DT04PM03	0.000856	58	1618339	Bacteria	candidate division CPR2
DT04PM03	0.000752	51	1817901	Bacteria	Candidatus Andersenbacteria
DT04PM03	0.000752	51	1817912	Bacteria	Candidatus Niyogibacteria
DT04PM03	0.000752	51	1817920	Bacteria	Candidatus Terrybacteria
DT04PM03	0.000693	47	2013583	Bacteria	Candidatus Goldbacteria
DT04PM03	0.000679	46	1817904	Bacteria	Candidatus Colwellbacteria
DT04PM03	0.000531	36	1817900	Bacteria	Candidatus Chisholmbacteria
DT04PM03	0.000516	35	1817915	Bacteria	Candidatus Spechtbacteria
DT04PM03	0.000502	34	1704031	Bacteria	candidate division KD3-62
DT04PM03	0.000502	34	1817898	Bacteria	Candidatus Blackburnbacteria
DT04PM03	0.000457	31	1817796	Bacteria	Candidatus Abawacabacteria
DT04PM03	0.000457	31	2767197	Bacteria	Candidatus Muirbacteria
DT04PM03	0.000443	30	1618340	Bacteria	candidate division CPR3
DT04PM03	0.000413	28	1817798	Bacteria	Candidatus Delongbacteria
DT04PM03	0.000398	27	2798536	Bacteria	Candidatus Gribaldobacteria
DT04PM03	0.000384	26	1817926	Bacteria	Candidatus Wirthbacteria
DT04PM03	0.000354	24	2138240	Bacteria	Coprothermobacterota
DT04PM03	0.000251	17	1817918	Bacteria	Candidatus Tagabacteria
DT04PM03	0.000251	17	2703810	Bacteria	Candidatus Mcinerneyibacteriota
DT04PM03	0.000236	16	1618338	Bacteria	candidate division CPR1
DT04PM03	0.000103	7	1817902	Bacteria	Candidatus Brennerbacteria
DT04PM03	0.000074	5	1817906	Bacteria	Candidatus Jacksonbacteria
DT04PM03	0.00003	2	1817921	Bacteria	Candidatus Veblenbacteria
DT04PM07	41.668873	2896714	1224	Bacteria	Proteobacteria
DT04PM07	19.838326	1379110	201174	Bacteria	Actinobacteria
DT04PM07	6.959705	483821	57723	Bacteria	Acidobacteria
DT04PM07	6.723779	467420	976	Bacteria	Bacteroidetes
DT04PM07	6.030327	419213	203682	Bacteria	Planctomycetes
DT04PM07	3.363788	233842	74201	Bacteria	Verrucomicrobia
DT04PM07	1.633388	113549	1239	Bacteria	Firmicutes
DT04PM07	1.165491	81022	200795	Bacteria	Chloroflexi
DT04PM07	0.624289	43399	1117	Bacteria	Cyanobacteria
DT04PM07	0.315863	21958	142182	Bacteria	Gemmatimonadetes
DT04PM07	0.264221	18368	67819	Bacteria	Armatimonadetes
DT04PM07	0.207631	14434	95818	Bacteria	Candidatus Saccharibacteria
DT04PM07	0.196152	13636	204428	Bacteria	Chlamydiae
DT04PM07	0.168375	11705	1752708	Bacteria	Candidatus Rokubacteria
DT04PM07	0.151602	10539	40117	Bacteria	Nitrospirae
DT04PM07	0.113597	7897	1297	Bacteria	Deinococcus-Thermus
DT04PM07	0.10839	7535	203691	Bacteria	Spirochaetes
DT04PM07	0.089977	6255	74152	Bacteria	Elusimicrobia
DT04PM07	0.067221	4673	1134404	Bacteria	Ignavibacteriae
DT04PM07	0.061193	4254	256845	Bacteria	Lentisphaerae
DT04PM07	0.050548	3514	1855361	Bacteria	Candidatus Kryptonia
DT04PM07	0.044262	3077	67812	Bacteria	Candidatus Omnitrophica
DT04PM07	0.038782	2696	1798710	Bacteria	Candidatus Melainabacteria
DT04PM07	0.029475	2049	1090	Bacteria	Chlorobi
DT04PM07	0.028655	1992	1930617	Bacteria	Calditrichaeota
DT04PM07	0.02549	1772	1817801	Bacteria	Candidatus Eisenbacteria
DT04PM07	0.025476	1771	1619053	Bacteria	Candidatus Peregrinibacteria
DT04PM07	0.023462	1631	1802339	Bacteria	Candidatus Tectomicrobia
DT04PM07	0.022095	1536	1379697	Bacteria	candidate division Zixibacteria
DT04PM07	0.022023	1531	67817	Bacteria	Candidatus Aminicenantes
DT04PM07	0.021908	1523	1752734	Bacteria	Candidatus Kaiserbacteria
DT04PM07	0.020268	1409	1936987	Bacteria	Balneolaeota
DT04PM07	0.019909	1384	221216	Bacteria	Candidatus Parcubacteria
DT04PM07	0.017751	1234	1752716	Bacteria	Candidatus Dadabacteria
DT04PM07	0.017305	1203	265317	Bacteria	Candidatus Poribacteria
DT04PM07	0.017147	1192	1293497	Bacteria	Nitrospinae
DT04PM07	0.016485	1146	2052312	Bacteria	Candidatus Dormibacteraeota
DT04PM07	0.016341	1136	62680	Bacteria	Candidatus Marinimicrobia
DT04PM07	0.015881	1104	640293	Bacteria	candidate division NC10
DT04PM07	0.013709	953	74015	Bacteria	Candidatus Latescibacteria
DT04PM07	0.013694	952	2109258	Bacteria	Abditibacteriota
DT04PM07	0.013594	945	508458	Bacteria	Synergistetes
DT04PM07	0.013061	908	1853220	Bacteria	Rhodothermaeota
DT04PM07	0.012126	843	200918	Bacteria	Thermotogae
DT04PM07	0.011752	817	1752729	Bacteria	Candidatus Nomurabacteria
DT04PM07	0.011422	794	142187	Bacteria	Candidatus Hydrogenedentes
DT04PM07	0.010861	755	1752736	Bacteria	Candidatus Adlerbacteria
DT04PM07	0.010573	735	200295	Bacteria	Candidatus Sumerlaeota
DT04PM07	0.0104	723	1817799	Bacteria	Candidatus Doudnabacteria
DT04PM07	0.0103	716	200783	Bacteria	Aquificae
DT04PM07	0.0103	716	1154676	Bacteria	Candidatus Eremiobacteraeota
DT04PM07	0.009897	688	544448	Bacteria	Tenericutes
DT04PM07	0.009336	649	1752731	Bacteria	Candidatus Magasanikbacteria
DT04PM07	0.009077	631	1752722	Bacteria	Candidatus Woesebacteria
DT04PM07	0.008746	608	1752732	Bacteria	Candidatus Uhrbacteria
DT04PM07	0.008573	596	200940	Bacteria	Thermodesulfobacteria
DT04PM07	0.008559	595	134625	Bacteria	Kiritimatiellaeota
DT04PM07	0.008545	594	65842	Bacteria	Fibrobacteres
DT04PM07	0.008358	581	32066	Bacteria	Fusobacteria
DT04PM07	0.008358	581	1752723	Bacteria	Candidatus Roizmanbacteria
DT04PM07	0.008228	572	1752737	Bacteria	Candidatus Moranbacteria
DT04PM07	0.008056	560	1752719	Bacteria	Candidatus Levybacteria
DT04PM07	0.007149	497	1817806	Bacteria	Candidatus Handelsmanbacteria
DT04PM07	0.007092	493	456828	Bacteria	Candidatus Cloacimonetes
DT04PM07	0.006027	419	1752720	Bacteria	Candidatus Gottesmanbacteria
DT04PM07	0.005998	417	1817919	Bacteria	Candidatus Taylorbacteria
DT04PM07	0.005322	370	1052815	Bacteria	Candidatus Aerophobetes
DT04PM07	0.005308	369	200930	Bacteria	Deferribacteres
DT04PM07	0.005279	367	1817811	Bacteria	Candidatus Schekmanbacteria
DT04PM07	0.005063	352	1752728	Bacteria	Candidatus Falkowbacteria
DT04PM07	0.004819	335	67810	Bacteria	Candidatus Bipolaricaulota
DT04PM07	0.004761	331	1817925	Bacteria	Candidatus Zambryskibacteria
DT04PM07	0.004459	310	1703755	Bacteria	candidate division WOR-3
DT04PM07	0.004315	300	422282	Bacteria	candidate division WWE3
DT04PM07	0.004186	291	1662329	Bacteria	Candidatus Kapabacteria
DT04PM07	0.004057	282	1752718	Bacteria	Candidatus Daviesbacteria
DT04PM07	0.003941	274	2093358	Bacteria	Candidatus Abyssubacteria
DT04PM07	0.003898	271	1752733	Bacteria	Candidatus Yanofskybacteria
DT04PM07	0.00387	269	2798537	Bacteria	Candidatus Blackallbacteria
DT04PM07	0.003841	267	1817808	Bacteria	Candidatus Margulisbacteria
DT04PM07	0.003726	259	1618330	Bacteria	Candidatus Berkelbacteria
DT04PM07	0.003553	247	67818	Bacteria	Atribacterota
DT04PM07	0.003309	230	200938	Bacteria	Chrysiogenetes
DT04PM07	0.002834	197	1817797	Bacteria	Candidatus Coatesbacteria
DT04PM07	0.002748	191	1817807	Bacteria	Candidatus Lindowbacteria
DT04PM07	0.002532	176	67820	Bacteria	Candidatus Microgenomates
DT04PM07	0.002517	175	1817810	Bacteria	Candidatus Riflebacteria
DT04PM07	0.002417	168	1817910	Bacteria	Candidatus Lloydbacteria
DT04PM07	0.002388	166	1817916	Bacteria	Candidatus Staskawiczbacteria
DT04PM07	0.00233	162	1752724	Bacteria	Candidatus Pacebacteria
DT04PM07	0.002273	158	1752727	Bacteria	Candidatus Campbellbacteria
DT04PM07	0.00223	155	363464	Bacteria	Candidatus Gracilibacteria
DT04PM07	0.002187	152	1752738	Bacteria	Candidatus Giovannonibacteria
DT04PM07	0.002172	151	1752735	Bacteria	Candidatus Wolfebacteria
DT04PM07	0.002158	150	1817924	Bacteria	Candidatus Yonathbacteria
DT04PM07	0.002115	147	1817917	Bacteria	Candidatus Sungbacteria
DT04PM07	0.002043	142	1729712	Bacteria	Candidatus Fermentibacteria
DT04PM07	0.002028	141	1819803	Bacteria	Candidatus Desantisbacteria
DT04PM07	0.002014	140	1817909	Bacteria	Candidatus Liptonbacteria
DT04PM07	0.001971	137	1817907	Bacteria	Candidatus Kerfeldbacteria
DT04PM07	0.001942	135	221235	Bacteria	Candidatus Absconditabacteria
DT04PM07	0.001928	134	1817903	Bacteria	Candidatus Buchananbacteria
DT04PM07	0.001899	132	1752721	Bacteria	Candidatus Shapirobacteria
DT04PM07	0.00187	130	1817805	Bacteria	Candidatus Glassbacteria
DT04PM07	0.001812	126	1752717	Bacteria	Candidatus Curtissbacteria
DT04PM07	0.001741	121	1817911	Bacteria	Candidatus Nealsonbacteria
DT04PM07	0.001669	116	1817913	Bacteria	Candidatus Portnoybacteria
DT04PM07	0.001654	115	1817812	Bacteria	Candidatus Wallbacteria
DT04PM07	0.001611	112	1817905	Bacteria	Candidatus Harrisonbacteria
DT04PM07	0.001582	110	1817914	Bacteria	Candidatus Ryanbacteria
DT04PM07	0.001539	107	1817922	Bacteria	Candidatus Vogelbacteria
DT04PM07	0.001453	101	1752730	Bacteria	Candidatus Amesbacteria
DT04PM07	0.001395	97	1817802	Bacteria	Candidatus Firestonebacteria
DT04PM07	0.001381	96	1752725	Bacteria	Candidatus Collierbacteria
DT04PM07	0.001338	93	1752741	Bacteria	Candidatus Azambacteria
DT04PM07	0.001338	93	1817803	Bacteria	Candidatus Fischerbacteria
DT04PM07	0.001323	92	1817809	Bacteria	Candidatus Raymondbacteria
DT04PM07	0.001323	92	1817899	Bacteria	Candidatus Woykebacteria
DT04PM07	0.001295	90	1817901	Bacteria	Candidatus Andersenbacteria
DT04PM07	0.001266	88	2498705	Bacteria	Candidatus Cryosericota
DT04PM07	0.001208	84	68297	Bacteria	Dictyoglomi
DT04PM07	0.00118	82	67814	Bacteria	Caldiserica
DT04PM07	0.00118	82	1752739	Bacteria	Candidatus Jorgensenbacteria
DT04PM07	0.001165	81	1817800	Bacteria	Candidatus Edwardsbacteria
DT04PM07	0.001151	80	1817908	Bacteria	Candidatus Komeilibacteria
DT04PM07	0.001122	78	1817923	Bacteria	Candidatus Wildermuthbacteria
DT04PM07	0.001064	74	2301208	Bacteria	Candidatus Cerribacteria
DT04PM07	0.00105	73	1752726	Bacteria	Candidatus Beckwithbacteria
DT04PM07	0.001007	70	2093364	Bacteria	Candidatus Aureabacteria
DT04PM07	0.000892	62	1817804	Bacteria	Candidatus Fraserbacteria
DT04PM07	0.000877	61	2576005	Bacteria	candidate division LCP-89
DT04PM07	0.00082	57	1817912	Bacteria	Candidatus Niyogibacteria
DT04PM07	0.000762	53	1130266	Bacteria	Candidatus Hydrothermae
DT04PM07	0.000762	53	1752740	Bacteria	Candidatus Kuenenbacteria
DT04PM07	0.000762	53	1817904	Bacteria	Candidatus Colwellbacteria
DT04PM07	0.000748	52	1704031	Bacteria	candidate division KD3-62
DT04PM07	0.000633	44	1618339	Bacteria	candidate division CPR2
DT04PM07	0.000619	43	2013583	Bacteria	Candidatus Goldbacteria
DT04PM07	0.000547	38	2138240	Bacteria	Coprothermobacterota
DT04PM07	0.000532	37	1817898	Bacteria	Candidatus Blackburnbacteria
DT04PM07	0.000532	37	1817915	Bacteria	Candidatus Spechtbacteria
DT04PM07	0.000518	36	1817920	Bacteria	Candidatus Terrybacteria
DT04PM07	0.000489	34	1817900	Bacteria	Candidatus Chisholmbacteria
DT04PM07	0.000432	30	2703810	Bacteria	Candidatus Mcinerneyibacteriota
DT04PM07	0.000374	26	2798536	Bacteria	Candidatus Gribaldobacteria
DT04PM07	0.00036	25	1817926	Bacteria	Candidatus Wirthbacteria
DT04PM07	0.000345	24	2767197	Bacteria	Candidatus Muirbacteria
DT04PM07	0.000331	23	1618338	Bacteria	candidate division CPR1
DT04PM07	0.000316	22	1618340	Bacteria	candidate division CPR3
DT04PM07	0.000316	22	1817798	Bacteria	Candidatus Delongbacteria
DT04PM07	0.000302	21	1817796	Bacteria	Candidatus Abawacabacteria
DT04PM07	0.000302	21	1817918	Bacteria	Candidatus Tagabacteria
DT04PM07	0.000101	7	1817906	Bacteria	Candidatus Jacksonbacteria
DT04PM07	0.000043	3	1817902	Bacteria	Candidatus Brennerbacteria
DT04PM07	0.000014	1	1817921	Bacteria	Candidatus Veblenbacteria
DT06PM10	35.89854	2327428	1224	Bacteria	Proteobacteria
DT06PM10	19.928864	1292058	57723	Bacteria	Acidobacteria
DT06PM10	16.473505	1068035	201174	Bacteria	Actinobacteria
DT06PM10	5.757579	373284	203682	Bacteria	Planctomycetes
DT06PM10	3.38939	219746	200795	Bacteria	Chloroflexi
DT06PM10	2.228493	144481	74201	Bacteria	Verrucomicrobia
DT06PM10	1.765075	114436	976	Bacteria	Bacteroidetes
DT06PM10	1.506968	97702	1239	Bacteria	Firmicutes
DT06PM10	0.763941	49529	1117	Bacteria	Cyanobacteria
DT06PM10	0.632728	41022	142182	Bacteria	Gemmatimonadetes
DT06PM10	0.330431	21423	1752708	Bacteria	Candidatus Rokubacteria
DT06PM10	0.252246	16354	40117	Bacteria	Nitrospirae
DT06PM10	0.225084	14593	67819	Bacteria	Armatimonadetes
DT06PM10	0.151187	9802	2052312	Bacteria	Candidatus Dormibacteraeota
DT06PM10	0.138709	8993	1154676	Bacteria	Candidatus Eremiobacteraeota
DT06PM10	0.133234	8638	1297	Bacteria	Deinococcus-Thermus
DT06PM10	0.10581	6860	203691	Bacteria	Spirochaetes
DT06PM10	0.103666	6721	204428	Bacteria	Chlamydiae
DT06PM10	0.088766	5755	1134404	Bacteria	Ignavibacteriae
DT06PM10	0.085882	5568	1855361	Bacteria	Candidatus Kryptonia
DT06PM10	0.078709	5103	74152	Bacteria	Elusimicrobia
DT06PM10	0.065676	4258	1798710	Bacteria	Candidatus Melainabacteria
DT06PM10	0.05855	3796	1817801	Bacteria	Candidatus Eisenbacteria
DT06PM10	0.053074	3441	67812	Bacteria	Candidatus Omnitrophica
DT06PM10	0.045918	2977	256845	Bacteria	Lentisphaerae
DT06PM10	0.039609	2568	1802339	Bacteria	Candidatus Tectomicrobia
DT06PM10	0.034026	2206	1930617	Bacteria	Calditrichaeota
DT06PM10	0.032884	2132	67817	Bacteria	Candidatus Aminicenantes
DT06PM10	0.031974	2073	95818	Bacteria	Candidatus Saccharibacteria
DT06PM10	0.030463	1975	1090	Bacteria	Chlorobi
DT06PM10	0.02764	1792	1379697	Bacteria	candidate division Zixibacteria
DT06PM10	0.026853	1741	640293	Bacteria	candidate division NC10
DT06PM10	0.023121	1499	1293497	Bacteria	Nitrospinae
DT06PM10	0.021655	1404	265317	Bacteria	Candidatus Poribacteria
DT06PM10	0.018185	1179	74015	Bacteria	Candidatus Latescibacteria
DT06PM10	0.017506	1135	62680	Bacteria	Candidatus Marinimicrobia
DT06PM10	0.017075	1107	1936987	Bacteria	Balneolaeota
DT06PM10	0.01564	1014	1752716	Bacteria	Candidatus Dadabacteria
DT06PM10	0.014884	965	200918	Bacteria	Thermotogae
DT06PM10	0.014761	957	508458	Bacteria	Synergistetes
DT06PM10	0.013265	860	1853220	Bacteria	Rhodothermaeota
DT06PM10	0.012308	798	1752734	Bacteria	Candidatus Kaiserbacteria
DT06PM10	0.012247	794	142187	Bacteria	Candidatus Hydrogenedentes
DT06PM10	0.012077	783	221216	Bacteria	Candidatus Parcubacteria
DT06PM10	0.011722	760	1817806	Bacteria	Candidatus Handelsmanbacteria
DT06PM10	0.011691	758	200783	Bacteria	Aquificae
DT06PM10	0.010751	697	200295	Bacteria	Candidatus Sumerlaeota
DT06PM10	0.010272	666	1619053	Bacteria	Candidatus Peregrinibacteria
DT06PM10	0.009871	640	200940	Bacteria	Thermodesulfobacteria
DT06PM10	0.00927	601	544448	Bacteria	Tenericutes
DT06PM10	0.0091	590	134625	Bacteria	Kiritimatiellaeota
DT06PM10	0.007928	514	1752719	Bacteria	Candidatus Levybacteria
DT06PM10	0.007681	498	456828	Bacteria	Candidatus Cloacimonetes
DT06PM10	0.007357	477	32066	Bacteria	Fusobacteria
DT06PM10	0.007141	463	1752723	Bacteria	Candidatus Roizmanbacteria
DT06PM10	0.006972	452	1752732	Bacteria	Candidatus Uhrbacteria
DT06PM10	0.006956	451	1703755	Bacteria	candidate division WOR-3
DT06PM10	0.006833	443	65842	Bacteria	Fibrobacteres
DT06PM10	0.006509	422	67810	Bacteria	Candidatus Bipolaricaulota
DT06PM10	0.006015	390	1817799	Bacteria	Candidatus Doudnabacteria
DT06PM10	0.005769	374	1752737	Bacteria	Candidatus Moranbacteria
DT06PM10	0.005614	364	2109258	Bacteria	Abditibacteriota
DT06PM10	0.005537	359	2093358	Bacteria	Candidatus Abyssubacteria
DT06PM10	0.005368	348	1752729	Bacteria	Candidatus Nomurabacteria
DT06PM10	0.005244	340	1752722	Bacteria	Candidatus Woesebacteria
DT06PM10	0.005213	338	1752731	Bacteria	Candidatus Magasanikbacteria
DT06PM10	0.005167	335	200930	Bacteria	Deferribacteres
DT06PM10	0.005044	327	1052815	Bacteria	Candidatus Aerophobetes
DT06PM10	0.004982	323	1752720	Bacteria	Candidatus Gottesmanbacteria
DT06PM10	0.004781	310	1817811	Bacteria	Candidatus Schekmanbacteria
DT06PM10	0.004643	301	1752736	Bacteria	Candidatus Adlerbacteria
DT06PM10	0.004411	286	67818	Bacteria	Atribacterota
DT06PM10	0.004134	268	1752728	Bacteria	Candidatus Falkowbacteria
DT06PM10	0.003779	245	1752733	Bacteria	Candidatus Yanofskybacteria
DT06PM10	0.003671	238	1817919	Bacteria	Candidatus Taylorbacteria
DT06PM10	0.003625	235	1752718	Bacteria	Candidatus Daviesbacteria
DT06PM10	0.00347	225	200938	Bacteria	Chrysiogenetes
DT06PM10	0.003393	220	422282	Bacteria	candidate division WWE3
DT06PM10	0.003347	217	1817808	Bacteria	Candidatus Margulisbacteria
DT06PM10	0.003285	213	1817797	Bacteria	Candidatus Coatesbacteria
DT06PM10	0.003254	211	1817807	Bacteria	Candidatus Lindowbacteria
DT06PM10	0.003208	208	1817810	Bacteria	Candidatus Riflebacteria
DT06PM10	0.002961	192	1618330	Bacteria	Candidatus Berkelbacteria
DT06PM10	0.002838	184	1662329	Bacteria	Candidatus Kapabacteria
DT06PM10	0.00256	166	2798537	Bacteria	Candidatus Blackallbacteria
DT06PM10	0.002437	158	1817925	Bacteria	Candidatus Zambryskibacteria
DT06PM10	0.002344	152	1819803	Bacteria	Candidatus Desantisbacteria
DT06PM10	0.002144	139	1729712	Bacteria	Candidatus Fermentibacteria
DT06PM10	0.002098	136	1817909	Bacteria	Candidatus Liptonbacteria
DT06PM10	0.002098	136	1817916	Bacteria	Candidatus Staskawiczbacteria
DT06PM10	0.002082	135	1752724	Bacteria	Candidatus Pacebacteria
DT06PM10	0.002067	134	1817911	Bacteria	Candidatus Nealsonbacteria
DT06PM10	0.002021	131	1817805	Bacteria	Candidatus Glassbacteria
DT06PM10	0.00199	129	1752738	Bacteria	Candidatus Giovannonibacteria
DT06PM10	0.001928	125	1817809	Bacteria	Candidatus Raymondbacteria
DT06PM10	0.001913	124	67814	Bacteria	Caldiserica
DT06PM10	0.001897	123	1752735	Bacteria	Candidatus Wolfebacteria
DT06PM10	0.001789	116	1752717	Bacteria	Candidatus Curtissbacteria
DT06PM10	0.001758	114	1817812	Bacteria	Candidatus Wallbacteria
DT06PM10	0.001728	112	2498705	Bacteria	Candidatus Cryosericota
DT06PM10	0.001712	111	1817905	Bacteria	Candidatus Harrisonbacteria
DT06PM10	0.001697	110	1817903	Bacteria	Candidatus Buchananbacteria
DT06PM10	0.001697	110	1817917	Bacteria	Candidatus Sungbacteria
DT06PM10	0.001681	109	1752721	Bacteria	Candidatus Shapirobacteria
DT06PM10	0.00165	107	67820	Bacteria	Candidatus Microgenomates
DT06PM10	0.001589	103	1817914	Bacteria	Candidatus Ryanbacteria
DT06PM10	0.001573	102	1817802	Bacteria	Candidatus Firestonebacteria
DT06PM10	0.001558	101	1752730	Bacteria	Candidatus Amesbacteria
DT06PM10	0.001465	95	1817910	Bacteria	Candidatus Lloydbacteria
DT06PM10	0.001434	93	1817899	Bacteria	Candidatus Woykebacteria
DT06PM10	0.001388	90	1817803	Bacteria	Candidatus Fischerbacteria
DT06PM10	0.001311	85	1817907	Bacteria	Candidatus Kerfeldbacteria
DT06PM10	0.001296	84	68297	Bacteria	Dictyoglomi
DT06PM10	0.001234	80	1130266	Bacteria	Candidatus Hydrothermae
DT06PM10	0.001188	77	1817913	Bacteria	Candidatus Portnoybacteria
DT06PM10	0.001157	75	2093364	Bacteria	Candidatus Aureabacteria
DT06PM10	0.001141	74	1752739	Bacteria	Candidatus Jorgensenbacteria
DT06PM10	0.001095	71	1817924	Bacteria	Candidatus Yonathbacteria
DT06PM10	0.00108	70	1752726	Bacteria	Candidatus Beckwithbacteria
DT06PM10	0.00108	70	1752727	Bacteria	Candidatus Campbellbacteria
DT06PM10	0.001049	68	1817923	Bacteria	Candidatus Wildermuthbacteria
DT06PM10	0.001049	68	2576005	Bacteria	candidate division LCP-89
DT06PM10	0.000972	63	1817908	Bacteria	Candidatus Komeilibacteria
DT06PM10	0.000956	62	1817800	Bacteria	Candidatus Edwardsbacteria
DT06PM10	0.000941	61	1752725	Bacteria	Candidatus Collierbacteria
DT06PM10	0.000941	61	1752741	Bacteria	Candidatus Azambacteria
DT06PM10	0.000941	61	1817804	Bacteria	Candidatus Fraserbacteria
DT06PM10	0.000895	58	2013583	Bacteria	Candidatus Goldbacteria
DT06PM10	0.00074	48	1817920	Bacteria	Candidatus Terrybacteria
DT06PM10	0.00071	46	1817904	Bacteria	Candidatus Colwellbacteria
DT06PM10	0.000694	45	1817901	Bacteria	Candidatus Andersenbacteria
DT06PM10	0.000679	44	363464	Bacteria	Candidatus Gracilibacteria
DT06PM10	0.000663	43	1704031	Bacteria	candidate division KD3-62
DT06PM10	0.000648	42	1817922	Bacteria	Candidatus Vogelbacteria
DT06PM10	0.000617	40	1618339	Bacteria	candidate division CPR2
DT06PM10	0.000602	39	1752740	Bacteria	Candidatus Kuenenbacteria
DT06PM10	0.000555	36	1817912	Bacteria	Candidatus Niyogibacteria
DT06PM10	0.000463	30	221235	Bacteria	Candidatus Absconditabacteria
DT06PM10	0.000463	30	1817900	Bacteria	Candidatus Chisholmbacteria
DT06PM10	0.000432	28	1817926	Bacteria	Candidatus Wirthbacteria
DT06PM10	0.000432	28	2798536	Bacteria	Candidatus Gribaldobacteria
DT06PM10	0.000416	27	1817898	Bacteria	Candidatus Blackburnbacteria
DT06PM10	0.000416	27	2138240	Bacteria	Coprothermobacterota
DT06PM10	0.000401	26	1618340	Bacteria	candidate division CPR3
DT06PM10	0.000386	25	1817796	Bacteria	Candidatus Abawacabacteria
DT06PM10	0.000386	25	2301208	Bacteria	Candidatus Cerribacteria
DT06PM10	0.00037	24	1817915	Bacteria	Candidatus Spechtbacteria
DT06PM10	0.000339	22	1817918	Bacteria	Candidatus Tagabacteria
DT06PM10	0.000262	17	1618338	Bacteria	candidate division CPR1
DT06PM10	0.000262	17	2767197	Bacteria	Candidatus Muirbacteria
DT06PM10	0.000185	12	1817798	Bacteria	Candidatus Delongbacteria
DT06PM10	0.00017	11	2703810	Bacteria	Candidatus Mcinerneyibacteriota
DT06PM10	0.000046	3	1817906	Bacteria	Candidatus Jacksonbacteria
DT06PM10	0.000015	1	1817902	Bacteria	Candidatus Brennerbacteria
DT06PM10	0.000015	1	1817921	Bacteria	Candidatus Veblenbacteria
DT08PM01	35.405594	2239366	1224	Bacteria	Proteobacteria
DT08PM01	21.994665	1391139	57723	Bacteria	Acidobacteria
DT08PM01	16.01866	1013163	201174	Bacteria	Actinobacteria
